mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=120	120.0	𝅘𝅥	120.0	1.0
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0				f							
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0								
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	1								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	2								
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	3								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	4								
1	1	11/4	11/4	0.0	11/16	11/16	Tempo	4/4	1	1	0							𝅘𝅥=1	5.0	𝅘𝅥	1.0	1.0
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	5								
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	6								
1	1	0	0	0.0	0	0	Dynamic	4/4	1	2	0				p							
1	1	0	0	0.0	0	0	StaffText	4/4	1	2	0						s					
1	1	0	0	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	7								
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	8								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	9								
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	10								
1	1	5/2	5/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	11								
1	1	11/4	11/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	12								
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	13								
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	14								
1	1	5/2	5/2	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24	1/16	2/3	15								
1	1	17/6	17/6	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24	1/16	2/3	16								
3	3	19/2	19/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	17								
4	4	11	11	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	18		articAccentAbove						
4	4	12	12	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	19								
4	4	25/2	25/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	20								
4	4	11	11	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	21								
4	4	12	12	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	22								
4	4	25/2	25/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	23								
5	5	13	13	0.0	0	0	Tempo	2/4	1	1	0							𝅘𝅥=240	240.0	𝅘𝅥	240.0	1.0
5	5	13	13	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	24								
5	5	27/2	27/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	25								
5	5	14	14	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	26								
5	5	29/2	29/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	27								
5	5	13	13	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	28								
5	5	27/2	27/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	29								
5	5	14	14	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	30								
5	5	29/2	29/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	31								
6	6	15	15	4.0	0	0	Chord	4/4	1	1	1	1	1	32								
6	6	15	15	4.0	0	0	Chord	4/4	1	2	1	1	1	33								
7	7	19	19	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	34								
7	7	20	20	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	35								
7	7	21	21	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	36								
7	7	22	22	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	37								
