,mc,mn,quarterbeats,quarterbeats_all_endings,duration_qb,mc_onset,mn_onset,timesig,staff,voice,duration,nominal_duration,scalar,tied,tpc,midi,name,octave,chord_id,time,player,capped
0,1,1,0,0,0.25,0,0,4/4,1,1,1/16,1/16,1,,0,72,C5,5,0,0.0,2,False
1,1,1,0,0,0.25,0,0,4/4,1,1,1/16,1/16,1,,4,76,E5,5,0,0.0,8,False
2,1,1,1/4,1/4,0.5,1/16,1/16,4/4,1,1,1/8,1/8,1,,0,72,C5,5,1,0.0,2,False
3,1,1,1/4,1/4,0.5,1/16,1/16,4/4,1,1,1/8,1/8,1,,4,76,E5,5,1,0.0,8,False
4,1,1,3/4,3/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,0,72,C5,5,2,0.0,2,False
5,1,1,3/4,3/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,4,76,E5,5,2,0.0,8,False
6,1,1,1,1,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,-1,0,72,C5,5,3,0.0,2,False
7,1,1,1,1,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,-1,4,76,E5,5,3,0.0,8,False
8,1,1,5/4,5/4,0.25,5/16,5/16,4/4,1,1,1/16,1/16,1,,1,67,G4,4,4,0.0,3,False
9,1,1,5/4,5/4,0.25,5/16,5/16,4/4,1,1,1/16,1/16,1,,0,72,C5,5,4,0.0,2,False
10,1,1,3/2,3/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,0,72,C5,5,5,0.0,2,False
11,1,1,3/2,3/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,4,76,E5,5,5,0.0,8,False
12,1,1,2,2,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1,,4,76,E5,5,6,0.0,8,False
13,1,1,2,2,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1,,1,79,G5,5,6,0.0,8,False
14,1,1,3,3,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,5,47,B2,2,7,0.0,3,False
15,1,1,3,3,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,1,55,G3,3,7,0.0,4,False
16,2,2,4,4,1.0,0,0,4/4,2,1,1/4,1/4,1,,4,52,E3,3,17,0.0,8,False
17,2,2,4,4,1.0,0,0,4/4,2,1,1/4,1/4,1,,0,60,C4,4,17,0.0,0,False
18,2,2,4,4,0.75,0,0,4/4,1,1,3/16,1/8,3/2,,1,67,G4,4,8,0.0,3,False
19,2,2,4,4,0.75,0,0,4/4,1,1,3/16,1/8,3/2,,0,72,C5,5,8,0.0,2,False
20,2,2,19/4,19/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,4,64,E4,4,9,0.0,1,False
21,2,2,19/4,19/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,1,67,G4,4,9,0.0,3,False
22,2,2,5,5,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,18,0.0,3,False
23,2,2,5,5,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,1,55,G3,3,18,0.0,4,False
24,2,2,5,5,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,-1,4,64,E4,4,10,0.0,1,False
25,2,2,5,5,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,-1,1,67,G4,4,10,0.0,3,False
26,2,2,11/2,11/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,0,60,C4,4,11,0.0,0,False
27,2,2,11/2,11/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,4,64,E4,4,11,0.0,1,False
28,2,2,6,6,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,0,48,C3,3,19,0.0,3,False
29,2,2,6,6,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,3,57,A3,3,19,0.0,7,False
30,2,2,25/4,25/4,0.5,9/16,9/16,4/4,1,1,1/8,1/8,1,,3,69,A4,4,12,0.0,3,False
31,2,2,27/4,27/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,1,5,71,B4,4,13,0.0,0,False
32,2,2,7,7,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,1,43,G2,2,20,0.0,7,False
33,2,2,7,7,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,4,52,E3,3,20,0.0,8,False
34,2,2,7,7,0.25,3/4,3/4,4/4,1,1,1/16,1/16,1,-1,5,71,B4,4,14,0.0,0,False
35,2,2,29/4,29/4,0.25,13/16,13/16,4/4,1,1,1/16,1/16,1,,10,70,A#4,4,15,0.0,5,False
36,2,2,15/2,15/2,0.5,7/8,7/8,4/4,1,1,1/8,1/8,1,,3,69,A4,4,16,0.0,3,False
37,3,3,8,8,1.0,0,0,4/4,2,1,1/4,1/4,1,,4,52,E3,3,32,0.0,8,False
38,3,3,8,8,1.0,0,0,4/4,2,1,1/4,1/4,1,,0,60,C4,4,32,0.0,0,False
39,3,3,8,8,0.3333333333333333,0,0,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,21,0.0,3,False
40,3,3,25/3,25/3,0.3333333333333333,1/12,1/12,4/4,1,1,1/12,1/8,2/3,,4,64,E4,4,22,0.0,1,False
41,3,3,26/3,26/3,0.3333333333333333,1/6,1/6,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,23,0.0,3,False
42,3,3,9,9,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,33,0.0,3,False
43,3,3,9,9,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,1,55,G3,3,33,0.0,4,False
44,3,3,9,9,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,,3,69,A4,4,24,0.0,3,False
45,3,3,19/2,19/2,0.25,3/8,3/8,4/4,1,1,1/16,1/16,1,,-1,65,F4,4,25,0.0,0,False
46,3,3,39/4,39/4,0.25,7/16,7/16,4/4,1,1,1/16,1/16,1,1,1,67,G4,4,26,0.0,3,False
47,3,3,10,10,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,4,52,E3,3,34,0.0,8,False
48,3,3,10,10,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,0,60,C4,4,34,0.0,0,False
49,3,3,10,10,0.25,1/2,1/2,4/4,1,1,1/16,1/16,1,-1,1,67,G4,4,27,0.0,3,False
50,3,3,41/4,41/4,0.5,9/16,9/16,4/4,1,1,1/8,1/8,1,,4,64,E4,4,28,0.0,1,False
51,3,3,43/4,43/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,,0,60,C4,4,29,0.0,0,False
