mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.25	0	0	4/4	1	1	1/16		1/16	1		0	72	C5	5	0
1	1	0	0	0.25	0	0	4/4	1	1	1/16		1/16	1		4	76	E5	5	0
1	1	1/4	1/4	0.5	1/16	1/16	4/4	1	1	1/8		1/8	1		0	72	C5	5	1
1	1	1/4	1/4	0.5	1/16	1/16	4/4	1	1	1/8		1/8	1		4	76	E5	5	1
1	1	3/4	3/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1	1	0	72	C5	5	2
1	1	3/4	3/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1	1	4	76	E5	5	2
1	1	1	1	0.25	1/4	1/4	4/4	1	1	1/16		1/16	1	-1	0	72	C5	5	3
1	1	1	1	0.25	1/4	1/4	4/4	1	1	1/16		1/16	1	-1	4	76	E5	5	3
1	1	5/4	5/4	0.25	5/16	5/16	4/4	1	1	1/16		1/16	1		1	67	G4	4	4
1	1	5/4	5/4	0.25	5/16	5/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	4
1	1	3/2	3/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		0	72	C5	5	5
1	1	3/2	3/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		4	76	E5	5	5
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		4	76	E5	5	6
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		1	79	G5	5	6
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		5	47	B2	2	7
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		2	50	D3	3	7
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		1	55	G3	3	7
2	2	4	4	1.0	0	0	4/4	2	1	1/4		1/4	1		4	52	E3	3	17
2	2	4	4	1.0	0	0	4/4	2	1	1/4		1/4	1		1	55	G3	3	17
2	2	4	4	1.0	0	0	4/4	2	1	1/4		1/4	1		0	60	C4	4	17
2	2	4	4	0.75	0	0	4/4	1	1	3/16		1/8	3/2		1	67	G4	4	8
