,mc,mn,quarterbeats,quarterbeats_all_endings,duration_qb,mc_onset,mn_onset,timesig,staff,voice,duration,nominal_duration,scalar,tied,tpc,midi,name,octave,chord_id
0,1,1,0,0,0.25,0,0,4/4,1,1,1/16,1/16,1,,0,72,C5,5,0
1,1,1,0,0,0.25,0,0,4/4,1,1,1/16,1/16,1,,4,76,E5,5,0
2,1,1,1/4,1/4,0.5,1/16,1/16,4/4,1,1,1/8,1/8,1,,0,72,C5,5,1
3,1,1,1/4,1/4,0.5,1/16,1/16,4/4,1,1,1/8,1/8,1,,4,76,E5,5,1
4,1,1,3/4,3/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,0,72,C5,5,2
5,1,1,3/4,3/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,4,76,E5,5,2
6,1,1,1,1,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,-1,0,72,C5,5,3
7,1,1,1,1,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,-1,4,76,E5,5,3
8,1,1,5/4,5/4,0.25,5/16,5/16,4/4,1,1,1/16,1/16,1,,1,67,G4,4,4
9,1,1,5/4,5/4,0.25,5/16,5/16,4/4,1,1,1/16,1/16,1,,0,72,C5,5,4
10,1,1,3/2,3/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,0,72,C5,5,5
11,1,1,3/2,3/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,4,76,E5,5,5
12,1,1,2,2,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1,,4,76,E5,5,6
13,1,1,2,2,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1,,1,79,G5,5,6
14,1,1,3,3,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,5,47,B2,2,7
15,1,1,3,3,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,1,55,G3,3,7
16,2,2,4,4,1.0,0,0,4/4,2,1,1/4,1/4,1,,4,52,E3,3,17
17,2,2,4,4,1.0,0,0,4/4,2,1,1/4,1/4,1,,0,60,C4,4,17
18,2,2,4,4,0.75,0,0,4/4,1,1,3/16,1/8,3/2,,1,67,G4,4,8
19,2,2,4,4,0.75,0,0,4/4,1,1,3/16,1/8,3/2,,0,72,C5,5,8
20,2,2,19/4,19/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,4,64,E4,4,9
21,2,2,19/4,19/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,1,67,G4,4,9
22,2,2,5,5,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,18
23,2,2,5,5,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,1,55,G3,3,18
24,2,2,5,5,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,-1,4,64,E4,4,10
25,2,2,5,5,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,-1,1,67,G4,4,10
26,2,2,11/2,11/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,0,60,C4,4,11
27,2,2,11/2,11/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,4,64,E4,4,11
28,2,2,6,6,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,0,48,C3,3,19
29,2,2,6,6,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,3,57,A3,3,19
30,2,2,25/4,25/4,0.5,9/16,9/16,4/4,1,1,1/8,1/8,1,,3,69,A4,4,12
31,2,2,27/4,27/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,1,5,71,B4,4,13
32,2,2,7,7,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,1,43,G2,2,20
33,2,2,7,7,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,4,52,E3,3,20
34,2,2,7,7,0.25,3/4,3/4,4/4,1,1,1/16,1/16,1,-1,5,71,B4,4,14
35,2,2,29/4,29/4,0.25,13/16,13/16,4/4,1,1,1/16,1/16,1,,10,70,A#4,4,15
36,2,2,15/2,15/2,0.5,7/8,7/8,4/4,1,1,1/8,1/8,1,,3,69,A4,4,16
37,3,3,8,8,1.0,0,0,4/4,2,1,1/4,1/4,1,,4,52,E3,3,32
38,3,3,8,8,1.0,0,0,4/4,2,1,1/4,1/4,1,,0,60,C4,4,32
39,3,3,8,8,0.3333333333333333,0,0,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,21
40,3,3,25/3,25/3,0.3333333333333333,1/12,1/12,4/4,1,1,1/12,1/8,2/3,,4,64,E4,4,22
41,3,3,26/3,26/3,0.3333333333333333,1/6,1/6,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,23
42,3,3,9,9,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,33
43,3,3,9,9,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,1,55,G3,3,33
44,3,3,9,9,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,,3,69,A4,4,24
45,3,3,19/2,19/2,0.25,3/8,3/8,4/4,1,1,1/16,1/16,1,,-1,65,F4,4,25
46,3,3,39/4,39/4,0.25,7/16,7/16,4/4,1,1,1/16,1/16,1,1,1,67,G4,4,26
47,3,3,10,10,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,4,52,E3,3,34
48,3,3,10,10,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,0,60,C4,4,34
49,3,3,10,10,0.25,1/2,1/2,4/4,1,1,1/16,1/16,1,-1,1,67,G4,4,27
50,3,3,41/4,41/4,0.5,9/16,9/16,4/4,1,1,1/8,1/8,1,,4,64,E4,4,28
51,3,3,43/4,43/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,,0,60,C4,4,29
52,3,3,11,11,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,2,50,D3,3,35
53,3,3,11,11,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,5,59,B3,3,35
54,3,3,11,11,0.25,3/4,3/4,4/4,1,1,1/16,1/16,1,,2,62,D4,4,30
55,3,3,45/4,45/4,0.75,13/16,13/16,4/4,1,1,3/16,1/8,3/2,,5,59,B3,3,31
56,4,4,12,12,1.0,0,0,4/4,2,1,1/4,1/4,1,,4,52,E3,3,45
57,4,4,12,12,1.0,0,0,4/4,2,1,1/4,1/4,1,,0,60,C4,4,45
58,4,4,12,12,0.75,0,0,4/4,1,1,3/16,1/8,3/2,,1,67,G4,4,36
59,4,4,12,12,0.75,0,0,4/4,1,1,3/16,1/8,3/2,,0,72,C5,5,36
60,4,4,51/4,51/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,4,64,E4,4,37
61,4,4,51/4,51/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,1,1,67,G4,4,37
62,4,4,13,13,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,46
63,4,4,13,13,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,1,55,G3,3,46
64,4,4,13,13,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,-1,4,64,E4,4,38
65,4,4,13,13,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,-1,1,67,G4,4,38
66,4,4,27/2,27/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,0,60,C4,4,39
67,4,4,27/2,27/2,0.5,3/8,3/8,4/4,1,1,1/8,1/8,1,,4,64,E4,4,39
68,4,4,14,14,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,0,48,C3,3,47
69,4,4,14,14,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,3,57,A3,3,47
70,4,4,57/4,57/4,0.5,9/16,9/16,4/4,1,1,1/8,1/8,1,,3,69,A4,4,40
71,4,4,59/4,59/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,1,5,71,B4,4,41
72,4,4,15,15,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,1,43,G2,2,48
73,4,4,15,15,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,4,52,E3,3,48
74,4,4,15,15,0.25,3/4,3/4,4/4,1,1,1/16,1/16,1,-1,5,71,B4,4,42
75,4,4,61/4,61/4,0.25,13/16,13/16,4/4,1,1,1/16,1/16,1,,10,70,A#4,4,43
76,4,4,31/2,31/2,0.5,7/8,7/8,4/4,1,1,1/8,1/8,1,,3,69,A4,4,44
77,5,5,16,16,1.0,0,0,4/4,2,1,1/4,1/4,1,,4,52,E3,3,60
78,5,5,16,16,1.0,0,0,4/4,2,1,1/4,1/4,1,,0,60,C4,4,60
79,5,5,16,16,0.3333333333333333,0,0,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,49
80,5,5,49/3,49/3,0.3333333333333333,1/12,1/12,4/4,1,1,1/12,1/8,2/3,,4,64,E4,4,50
81,5,5,50/3,50/3,0.3333333333333333,1/6,1/6,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,51
82,5,5,17,17,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,61
83,5,5,17,17,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,1,55,G3,3,61
84,5,5,17,17,0.5,1/4,1/4,4/4,1,1,1/8,1/8,1,,3,69,A4,4,52
85,5,5,35/2,35/2,0.25,3/8,3/8,4/4,1,1,1/16,1/16,1,,-1,65,F4,4,53
86,5,5,71/4,71/4,0.25,7/16,7/16,4/4,1,1,1/16,1/16,1,1,1,67,G4,4,54
87,5,5,18,18,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,4,52,E3,3,62
88,5,5,18,18,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,0,60,C4,4,62
89,5,5,18,18,0.25,1/2,1/2,4/4,1,1,1/16,1/16,1,-1,1,67,G4,4,55
90,5,5,73/4,73/4,0.5,9/16,9/16,4/4,1,1,1/8,1/8,1,,4,64,E4,4,56
91,5,5,75/4,75/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,,0,60,C4,4,57
92,5,5,19,19,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,2,50,D3,3,63
93,5,5,19,19,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,5,59,B3,3,63
94,5,5,19,19,0.25,3/4,3/4,4/4,1,1,1/16,1/16,1,,2,62,D4,4,58
95,5,5,77/4,77/4,0.75,13/16,13/16,4/4,1,1,3/16,1/8,3/2,,5,59,B3,3,59
96,6,6,20,20,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,4,40,E2,2,75
97,6,6,20,20,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,0,48,C3,3,75
98,6,6,41/2,41/2,0.25,1/8,1/8,4/4,1,1,1/16,1/16,1,,1,79,G5,5,64
99,6,6,83/4,83/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,0,48,C3,3,76
100,6,6,83/4,83/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,1,55,G3,3,76
101,6,6,83/4,83/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,,6,78,F#5,5,65
102,6,6,21,21,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,0,48,C3,3,77
103,6,6,21,21,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,1,55,G3,3,77
104,6,6,21,21,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,,-1,77,F5,5,66
105,6,6,85/4,85/4,0.5,5/16,5/16,4/4,1,1,1/8,1/8,1,,9,75,D#5,5,67
106,6,6,43/2,43/2,0.5,3/8,3/8,4/4,2,1,1/8,1/8,1,,4,52,E3,3,78
107,6,6,43/2,43/2,0.5,3/8,3/8,4/4,2,1,1/8,1/8,1,,0,60,C4,4,78
108,6,6,87/4,87/4,0.25,7/16,7/16,4/4,1,1,1/16,1/16,1,,4,76,E5,5,68
109,6,6,22,22,0.75,1/2,1/2,4/4,2,1,3/16,1/8,3/2,,3,45,A2,2,79
110,6,6,22,22,0.75,1/2,1/2,4/4,2,1,3/16,1/8,3/2,,-1,53,F3,3,79
111,6,6,89/4,89/4,0.25,9/16,9/16,4/4,1,1,1/16,1/16,1,,1,67,G4,4,69
112,6,6,45/2,45/2,0.25,5/8,5/8,4/4,1,1,1/16,1/16,1,,3,69,A4,4,70
113,6,6,91/4,91/4,0.25,11/16,11/16,4/4,2,1,1/16,1/16,1,,4,52,E3,3,80
114,6,6,91/4,91/4,0.25,11/16,11/16,4/4,2,1,1/16,1/16,1,,0,60,C4,4,80
115,6,6,91/4,91/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,,0,72,C5,5,71
116,6,6,23,23,0.25,3/4,3/4,4/4,2,1,1/16,1/16,1,,4,52,E3,3,81
117,6,6,23,23,0.25,3/4,3/4,4/4,2,1,1/16,1/16,1,,0,60,C4,4,81
118,6,6,93/4,93/4,0.25,13/16,13/16,4/4,2,1,1/16,1/16,1,,4,52,E3,3,82
119,6,6,93/4,93/4,0.25,13/16,13/16,4/4,2,1,1/16,1/16,1,,0,60,C4,4,82
120,6,6,93/4,93/4,0.25,13/16,13/16,4/4,1,1,1/16,1/16,1,,3,69,A4,4,72
121,6,6,47/2,47/2,0.5,7/8,7/8,4/4,2,1,1/8,1/8,1,,3,45,A2,2,83
122,6,6,47/2,47/2,0.5,7/8,7/8,4/4,2,1,1/8,1/8,1,,-1,53,F3,3,83
123,6,6,47/2,47/2,0.25,7/8,7/8,4/4,1,1,1/16,1/16,1,,0,72,C5,5,73
124,6,6,95/4,95/4,0.25,15/16,15/16,4/4,1,1,1/16,1/16,1,,2,74,D5,5,74
125,7,7,24,24,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,4,40,E2,2,92
126,7,7,24,24,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,0,48,C3,3,92
127,7,7,49/2,49/2,0.25,1/8,1/8,4/4,1,1,1/16,1/16,1,,1,79,G5,5,84
128,7,7,99/4,99/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,1,43,G2,2,93
129,7,7,99/4,99/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,4,52,E3,3,93
130,7,7,99/4,99/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,,6,78,F#5,5,85
131,7,7,25,25,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,1,43,G2,2,94
132,7,7,25,25,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,4,52,E3,3,94
133,7,7,25,25,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,,-1,77,F5,5,86
134,7,7,101/4,101/4,0.5,5/16,5/16,4/4,1,1,1/8,1/8,1,,9,75,D#5,5,87
